Reading training examples...done
Iter 69: +++++++++:*(NumConst=69, SV=34, CEps=3.4531, QPEps=1.0128)
Iter 70: +++++++++:*(NumConst=70, SV=38, CEps=2.8639, QPEps=0.8197)
Iter 71: +++++++++:*(NumConst=71, SV=38, CEps=2.2130, QPEps=0.8406)
Iter 72: +++++++++.........:*(NumConst=71, SV=39, CEps=63.4883, QPEps=5.9553)
Iter 73: +++++++++:*(NumConst=72, SV=38, CEps=3.4968, QPEps=1.5315)
Iter 74: +++++++++:*(NumConst=73, SV=39, CEps=2.9617, QPEps=1.0439)
Iter 75: +++++++++:*(NumConst=74, SV=38, CEps=2.5503, QPEps=1.2045)
Iter 76: +++++++++.........:*(NumConst=75, SV=39, CEps=55.4622, QPEps=6.6847)
Iter 77: +++++++++:*(NumConst=76, SV=39, CEps=3.2840, QPEps=1.1745)
Iter 78: +++++++++:*(NumConst=77, SV=36, CEps=2.3383, QPEps=0.5924)
Iter 79: +++++++++.........:*(NumConst=78, SV=39, CEps=57.3661, QPEps=6.8355)
Iter 80: +++++++++.........:*(NumConst=79, SV=41, CEps=42.9705, QPEps=6.0370)
Iter 81: +++++++++:*(NumConst=80, SV=41, CEps=6.6619, QPEps=2.6091)
Iter 82: +++++++++:*(NumConst=81, SV=39, CEps=6.3583, QPEps=2.1576)
Iter 83: +++++++++:*(NumConst=82, SV=36, CEps=3.8942, QPEps=1.5126)
Iter 84: +++++++++:*(NumConst=83, SV=36, CEps=3.4290, QPEps=1.6966)
Iter 85: +++++++++:*(NumConst=84, SV=38, CEps=5.5033, QPEps=1.6529)
Iter 86: +++++++++:*(NumConst=85, SV=38, CEps=2.9798, QPEps=1.2130)
Iter 87: +++++++++:*(NumConst=86, SV=35, CEps=2.4246, QPEps=0.5461)
Iter 88: +++++++++:*(NumConst=87, SV=45, CEps=2.8957, QPEps=1.0875)
Iter 89: +++++++++:*(NumConst=88, SV=42, CEps=4.5063, QPEps=1.1692)
Iter 90: +++++++++.........:*(NumConst=87, SV=43, CEps=160.3049, QPEps=6.5039)
Iter 91: +++++++++:*(NumConst=88, SV=41, CEps=3.2827, QPEps=1.0275)
Iter 92: +++++++++:*(NumConst=89, SV=39, CEps=3.1419, QPEps=1.2745)
Iter 93: +++++++++:*(NumConst=89, SV=40, CEps=2.2737, QPEps=1.0228)
Iter 94: +++++++++.........:*(NumConst=90, SV=41, CEps=111.4370, QPEps=4.1318)
Iter 95: +++++++++:*(NumConst=91, SV=42, CEps=4.1899, QPEps=1.8709)
Iter 96: +++++++++:*(NumConst=90, SV=35, CEps=2.8950, QPEps=1.1182)
Iter 97: +++++++++.........:*(NumConst=91, SV=38, CEps=80.2909, QPEps=7.4187)
Iter 98: +++++++++.........:*(NumConst=92, SV=44, CEps=57.8065, QPEps=5.5669)
Iter 99: +++++++++:*(NumConst=93, SV=43, CEps=8.4328, QPEps=3.9504)
Iter 100: +++++++++:*(NumConst=94, SV=42, CEps=4.5021, QPEps=1.4783)
Iter 101: +++++++++:*(NumConst=94, SV=42, CEps=3.5185, QPEps=1.5235)
Iter 102: +++++++++:*(NumConst=95, SV=42, CEps=6.0119, QPEps=1.0996)
Iter 103: +++++++++:*(NumConst=96, SV=41, CEps=3.9984, QPEps=1.6912)
Iter 104: +++++++++:*(NumConst=97, SV=40, CEps=4.1209, QPEps=1.6888)
Iter 105: +++++++++.........:*(NumConst=98, SV=41, CEps=78.7640, QPEps=5.3745)
Iter 106: +++++++++:*(NumConst=99, SV=41, CEps=5.4451, QPEps=1.1919)
Iter 107: +++++++++:*(NumConst=100, SV=40, CEps=3.1677, QPEps=1.4736)
Iter 108: +++++++++:*(NumConst=101, SV=40, CEps=4.1180, QPEps=1.2080)
Iter 109: +++++++++.........:*(NumConst=101, SV=44, CEps=58.9290, QPEps=5.9246)
Iter 110: +++++++++:*(NumConst=101, SV=43, CEps=5.6738, QPEps=2.1303)
Iter 111: +++++++++:*(NumConst=101, SV=47, CEps=3.3231, QPEps=1.3310)
Iter 112: +++++++++:*(NumConst=102, SV=45, CEps=5.1701, QPEps=1.6108)
Iter 113: +++++++++:*(NumConst=103, SV=44, CEps=2.3601, QPEps=1.1379)
Iter 114: +++++++++:*(NumConst=104, SV=42, CEps=2.3900, QPEps=1.1166)
Iter 115: +++++++++.........:*(NumConst=104, SV=41, CEps=70.2264, QPEps=5.6405)
Iter 116: +++++++++:*(NumConst=105, SV=40, CEps=2.8951, QPEps=1.0575)
Iter 117: +++++++++:*(NumConst=106, SV=39, CEps=2.5749, QPEps=0.7212)
Iter 118: +++++++++:*(NumConst=105, SV=41, CEps=2.6700, QPEps=1.2371)
Iter 119: +++++++++.........:*(NumConst=106, SV=39, CEps=59.8151, QPEps=9.9454)
Iter 120: +++++++++:*(NumConst=106, SV=41, CEps=8.2920, QPEps=3.6467)
Iter 121: +++++++++:*(NumConst=107, SV=43, CEps=4.3228, QPEps=0.7031)
Iter 122: +++++++++:*(NumConst=107, SV=42, CEps=3.7557, QPEps=0.8786)
Iter 123: +++++++++:*(NumConst=108, SV=43, CEps=2.6261, QPEps=0.9028)
Iter 124: +++++++++:*(NumConst=109, SV=46, CEps=2.2760, QPEps=0.8037)
Iter 125: +++++++++:*(NumConst=110, SV=43, CEps=2.9922, QPEps=1.0397)
Iter 126: +++++++++.........:*(NumConst=109, SV=46, CEps=57.1718, QPEps=9.2743)
Iter 127: +++++++++:*(NumConst=110, SV=47, CEps=4.3460, QPEps=1.7001)
Iter 128: +++++++++:*(NumConst=111, SV=45, CEps=5.3145, QPEps=1.8856)
Iter 129: +++++++++:*(NumConst=111, SV=45, CEps=3.4617, QPEps=1.3736)
Iter 130: +++++++++:*(NumConst=109, SV=43, CEps=4.2363, QPEps=1.6345)
Iter 131: +++++++++:*(NumConst=109, SV=39, CEps=2.9822, QPEps=1.4794)
Iter 132: +++++++++:*(NumConst=108, SV=41, CEps=2.3626, QPEps=0.9505)
Iter 133: +++++++++:*(NumConst=108, SV=41, CEps=2.7174, QPEps=0.7942)
Iter 134: +++++++++:*(NumConst=108, SV=41, CEps=2.7643, QPEps=0.8935)
Iter 135: +++++++++.........:*(NumConst=109, SV=41, CEps=70.0782, QPEps=10.1652)
Iter 136: +++++++++:*(NumConst=110, SV=43, CEps=3.3280, QPEps=1.4967)
Iter 137: +++++++++:*(NumConst=110, SV=43, CEps=2.7028, QPEps=0.9890)
Iter 138: +++++++++:*(NumConst=109, SV=42, CEps=3.5146, QPEps=1.1560)
Iter 139: +++++++++.........:*(NumConst=109, SV=43, CEps=56.7210, QPEps=7.3131)
Iter 140: +++++++++:*(NumConst=108, SV=44, CEps=2.6680, QPEps=0.9441)
Iter 141: +++++++++:*(NumConst=107, SV=45, CEps=5.5738, QPEps=0.9227)
